finn_code,model_year,manufacturer,model,km,power,gear,trans,first_reg,cylinder,fuel_type,price
137799275,2010,BMW,X1,92000.0,136.0,Manuell,AWD,2010,2.0,Diesel,169999
137799270,2011,Opel,Astra,85747.0,140.0,Automat,FWD,2011,1.4,Bensin,119000
137799239,2018,Mercedes-Benz,B-Klasse,43289.0,122.0,Automat,FWD,2017,1.6,Bensin,309000
137782524,2011,Ford,Focus,120500.0,95.0,Manuell,FWD,,1.6,Diesel,99000
137799191,2006,Volkswagen,Transporter,284500.0,105.0,Manuell,FWD,2006,1.9,Diesel,39000
137799262,2015,Suzuki,Swift,66400.0,90.0,Manuell,AWD,2015,,Bensin,145000
137795015,2008,Toyota,Yaris,99650.0,90.0,Manuell,FWD,2011,1.4,Diesel,32696
137799106,2017,Citroen,C4 Cactus,43563.0,110.0,Manuell,FWD,2017,1.2,Bensin,179000
137798934,2017,Mercedes-Benz,GLS,65845.0,258.0,Automat,AWD,2017,3.0,Diesel,779900
137799114,2012,Hyundai,Santa Fe,68000.0,150.0,Manuell,AWD,2012,2.0,Diesel,169900
137799081,2015,Mercedes-Benz,Vito,61299.0,114.0,Manuell,FWD,2015,1.6,Diesel,209900
137799060,2017,Citroen,C4 Cactus,43791.0,110.0,Manuell,FWD,2017,1.2,Bensin,179000
137799063,2017,Volkswagen,Tiguan,38700.0,150.0,Automat,AWD,2017,2.0,Diesel,409000
137798965,2017,Ford,Kuga,59416.0,150.0,Automat,AWD,2017,2.0,Diesel,439900
137799000,2018,BMW,i3,32.0,184.0,Automat,RWD,2018,0.6,Elektrisitet,299000
136434062,2013,Toyota,Prius,72000.0,136.0,Automat,FWD,2013,1798.0,Bensin,170000
137798981,2010,BMW,5-serie,212700.0,177.0,Automat,RWD,2009,2.0,Diesel,129900
137798979,2013,BMW,3-serie,102000.0,163.0,Automat,FWD,2012,2.0,Diesel,199900
137792721,2019,Volkswagen,Golf,39.0,136.0,Automat,FWD,2018,,Elektrisitet,373000
137798903,2016,Volvo,V40,39936.0,120.0,Manuell,FWD,2015,2.0,Diesel,234900
130743004,1992,Toyota,MR2,122102.0,156.0,Manuell,RWD,2006,2.0,Bensin,51594
137798869,2019,BMW,3-serie,64.0,252.0,Automat,RWD,2018,2.0,Hybrid,495000
137795089,2002,Ford,Mondeo,246000.0,145.0,Manuell,FWD,2002,2.0,Bensin,9618
137795968,2008,Toyota,Yaris,96388.0,70.0,Manuell,FWD,2007,998.0,Bensin,42696
137798867,2017,Mercedes-Benz,B-Klasse,8600.0,122.0,Automat,FWD,2017,1.6,Bensin,299000
137798813,2015,Volkswagen,Transporter,44160.0,179.0,Automat,AWD,2015,2.0,Diesel,299000
137798730,2014,Volvo,XC 70,116150.0,181.0,Automat,AWD,2014,2.4,Diesel,379900
129408691,1994,Audi,80,179578.0,150.0,Manuell,FWD,1994,2.6,Bensin,26594
137794167,2002,Nissan,King Cab,272000.0,133.0,Manuell,AWD,2002,2.5,Diesel,19275
137798630,2012,Volvo,V70,183500.0,163.0,Automat,FWD,2012,2.0,Diesel,179000
137796248,2007,Audi,Q7,170500.0,233.0,Automat,AWD,2006,,Diesel,279618
137793417,2001,Toyota,Yaris,236000.0,68.0,Manuell,FWD,2001,1.0,Bensin,6618
137798555,2013,Suzuki,SX4 S-Cross,66000.0,120.0,Manuell,AWD,2013,1.6,Bensin,189000
137798602,2018,Mercedes-Benz,A-Klasse,7500.0,122.0,Automat,FWD,2017,1.6,Bensin,299000
137794010,2002,Toyota,Yaris Verso,184000.0,86.0,Manuell,FWD,2002,1.3,Bensin,12594
137798521,2011,Mercedes-Benz,E-Klasse,94000.0,136.0,Automat,RWD,2011,2.1,Diesel,189000
137798535,2013,Skoda,Octavia,145418.0,105.0,Manuell,AWD,2012,1.6,Diesel,183000
137565034,2009,Ford,Mondeo,280000.0,140.0,Automat,FWD,,2.0,Diesel,44000
137798377,2018,Toyota,Yaris,17300.0,73.0,Automat,FWD,2018,1.5,Hybrid,199000
137798425,2016,Audi,A6 allroad,59089.0,211.0,Automat,AWD,2015,3.0,Diesel,549000
137798280,2014,Volkswagen,Tiguan,52060.0,110.0,Manuell,FWD,2013,2.0,Diesel,199000
137798356,2010,Volkswagen,Transporter,135000.0,102.0,Manuell,FWD,2010,2.0,Diesel,109900
137798310,2017,BMW,X5,59000.0,258.0,Automat,AWD,2016,,Diesel,844900
137798160,2019,Volkswagen,Golf,10.0,136.0,Automat,FWD,2018,,Elektrisitet,349000
135557063,2010,Volkswagen,Tiguan,241763.0,140.0,Manuell,AWD,2009,2.0,Diesel,82719
94743435,2010,BMW,3-serie,176494.0,184.0,Automat,RWD,2011,2.0,Diesel,123660
137798045,2018,Nissan,Leaf,13691.0,122.0,Automat,FWD,2018,,Elektrisitet,299900
137731727,2010,Peugeot,308,98000.0,90.0,Manuell,FWD,2010,1.6,Diesel,48719
137792539,2014,Toyota,Auris,52350.0,136.0,Automat,FWD,2014,1.8,Hybrid,168775
134423348,2016,Peugeot,Bipper,11000.0,75.0,Automat,FWD,2016,1.2,Diesel,89900
137797934,2013,Ford,Fiesta,82000.0,65.0,Manuell,FWD,2013,,Bensin,89000
137797855,2015,Volkswagen,Transporter,160662.0,140.0,Manuell,AWD,2014,2.0,Diesel,165000
137797841,2007,Hyundai,Santa Fe,191000.0,155.0,Automat,AWD,2006,2.2,Diesel,89900
137797835,2018,Volvo,V40 Cross Country,1500.0,152.0,Automat,FWD,,2.0,Bensin,389000
137797753,2015,Volkswagen,Golf,51478.0,116.0,Automat,FWD,2014,,Elektrisitet,189000
137797690,2019,Volkswagen,Golf,5.0,136.0,Automat,FWD,,0.0,Elektrisitet,3799
137797699,2010,Citroen,Berlingo,93762.0,90.0,Manuell,FWD,2010,1.6,Diesel,89000
137795221,2004,Volkswagen,Caravelle,146000.0,131.0,Automat,FWD,,2.5,Diesel,155000
137797673,2015,Ford,Mondeo,121684.0,179.0,Automat,FWD,2015,2.0,Diesel,279000
